City Served,Airport Name,ICAO,IATA
Port Blair,Veer Savarkar International Airport,VOPB,IXZ
Kadapa,Kadapa Airport,VOCP,CDP
Rajahmundry,Rajahmundry Airport,VORY,RJA
Tirupati,Tirupati Airport,VOTP,TIR
Vijayawada,Vijayawada International Airport,VOBZ,VGA
Visakhapatnam,Visakhapatnam Airport,VOVZ,VTZ
Along,Along Airport,VEAN,IXV
Pasighat,Pasighat Airport,VEPG,IXT
Dibrugarh,Dibrugarh Airport,VEMN,DIB
Guwahati,Lokpriya Gopinath Bordoloi International Airport,VEGT,GAU
Jorhat,Jorhat Airport,VEJT,JRH
North Lakhimpur,Lilabari Airport,VELR,IXI
Silchar,Silchar Airport,VEKU,IXS
Tezpur,Tezpur Airport,VETZ,TEZ
Gaya,Gaya International Airport,VEGY,GAY
Patna,Jay Prakash Narayan International Airport,VEPT,PAT
Raxaul,Raxaul Airport,VERL,RXL
Raipur,Swami Vivekananda Airport,VERP,RPR
Diu,Diu Airport,VA1P,DIU
New Delhi,Indira Gandhi International Airport,VIDP,DEL
Goa,Goa International Airport,VOGO,GOI
Ahmedabad,Sardar Vallabhbhai Patel International Airport,VAAH,AMD
Bhavnagar,Bhavnagar Airport,VABV,BHU
Bhuj,Bhuj Airport,VABJ,BHJ
Jamnagar,Jamnagar Airport,VAJM,JGA
Kandla,Kandla Airport,VAKE,IXY
Keshod,Keshod Airport,VAKS,IXK
Porbandar,Porbandar Airport,VAPR,PBD
Rajkot,Rajkot Airport,VARK,RAJ
Surat,Surat Airport,VASU,STV
Vadodara,Vadodara Airport,VABO,BDQ
Kangra,Gaggal Airport,VIGG,DHM
Kullu,Bhuntar Airport,VIBR,KUU
Shimla,Shimla Airport,VISM,SLV
Jammu,Jammu Airport,VIJU,IXJ
Leh,Kushok Bakula Rimpochhe Airport,VILH,IXL
Srinagar,Srinagar International Airport,VISR,SXR
Dhanbad,Dhanbad Airport,VEDB,DBD
Jamshedpur,Sonari Airport,VEJS,IXW
Ranchi,Birsa Munda Airport,VERC,IXR
Belgaum,Belgaum Airport,VABM,IXG
Bengaluru,Kempegowda International Airport,VOBL,BLR
Hubli,Hubli Airport,VAHB,HBX
Mangalore,Mangalore International Airport,VOML,IXE
Mysore,Mysore Airport,VOMY,MYQ
Kochi,Cochin International Airport,VOCI,COK
Trivandrum,Trivandrum International Airport,VOTV,TRV
Kozhikode,Calicut International Airport,VOCL,CCJ
Agatti,Agatti Aerodrome,VOAT,AGX
Bhopal,Raja Bhoj Airport,VABP,BHO
Gwalior,Gwalior airport,VIGR,GWL
Indore,Devi Ahilyabai Holkar Airport,VAID,IDR
Jabalpur,Jabalpur Airport,VAJB,JLR
Khajuraho,Khajuraho Airport,VEKO,HJR
Satna,Satna Airport,VIST,TNI
Akola,Akola Airport,VAAK,AKD
Aurangabad,Aurangabad Airport,VAAU,IXU
Kolhapur,Kolhapur Airport,VAKP,KLH
Mumbai,Chhatrapati Shivaji International Airport,VABB,BOM
Nagpur,Dr. Babasaheb Ambedkar International Airport,VANP,NAG
,Pune Airport,VAPO,PNQ
Solapur,Solapur Airport,VASL,SSL
Imphal,Koirengei Airstrip Airport,VEIM,KG
Imphal,Imphal International Airport,VEIM,IMF
Shillong,Shillong Airport,VEBI,SHL
Tura,Baljek Airport,VETU,TRU
Aizawl,Lengpui Airport,VELP,AJL
Dimapur,Dimapur Airport,VEMR,DMU
Balasore,Rasgovindpur Airstrip,—,IN 0057
Bhubaneswar,Biju Patnaik International Airport,VEBS,BBI
Brahmapur,Brahmapur Airport,VEBM,BMP
Jeypore,Jeypore Airport,VEJP,PYB
Jharsuguda,Jharsuguda Airport,VEJH,JSA
Amritsar,Sri Guru Ram Dass Jee International Airport,VIAR,ATQ
Bathinda,Bathinda Airport,VIBT,BUP
Ludhiana,Sahnewal Airport,VILD,LUH
"Chandigarh, Mohali",Chandigarh International Airport,VIBT,IXC
Pathankot,Pathankot Airport,VIPK,PTK
Jaipur,Jaipur International Airport,VIJP,JAI
Jodhpur,Jodhpur Airport,VIJO,JDH
Udaipur,Maharana Pratap Airport,VAUD,UDR
Chennai,Chennai International Airport,VOMM,MAA
Coimbatore,Coimbatore International Airport,VOCB,CJB
Madurai,Madurai International Airport,VOMD,IXM
Tiruchirapalli,Tiruchirapalli International Airport,VOTR,TRZ
Tuticorin,Tuticorin Airport,VOTK,TCR
Hyderadabad,Rajiv Gandhi International Airport,VOHS,HYD
Agartala,Agartala Airport,VEAT,IXA
Dehradun,Jolly Grant Airport,VIDN,DED
Pantnagar,Pantnagar Airport,VIPT,PGH
Agra,Agra Air Force Station,VIAG,AGR
Allahabad,Allahabad Airport,VEAB,IXD
Gorakhpur,Gorakhpur Airport,VEGK,GOP
Kanpur,Kanpur Airport,VIKA,KNU
Lucknow,Chaudhary Charan Singh International Airport,VILK,LKO
Varanasi,Lal Bahadur Shastri Airport,VEBN,VNS
Kolkata,Netaji Subhash Chandra Bose International Airport,VECC,CCU
Siliguri,Bagdogra Airport,VEBD,IXB
